1,- môi trường làm việc năng động - hiểu thêm về các loại đồ về trẻ em - có thêm kiến thức chăm sóc da cho bé - hiểu thêm về các loại sữa và cách thức hợp lý cho trẻ khi dùng - nhân viên hòa đồng và giúp đỡ lẫn nhau
-1,quá trình làm việc ít khuyến khích sự sáng tạo
1,"môi trường làm việc năng động, sáng tạo, đầy sức trẻ chế độ lương thưởng hợp lý nhân viên hòa đồng, thân thiện hỗ trợ đầy đủ chính sách bảo hiểm cho nhân viên"
-1,"ít cơ hội thăng tiến, cần tạo điều kiện phát triển cho nhân viên hơn áp lực khách hàng"
1,"ông giữ xe thân thiện, nhân viên bán hàng cũng ok. Trang trí cửa hàng good."
-1,"đồ bán quá mắc, mẫu mã kém đa dạng. lựa đi lựa lại mấy lần ko dc cái nào ưng."
1,- Môi trường thân thiện - Sếp hoà đồng - Chế độ phúc lợi tốt OT ko bắt buộc. Lâu lâu sẽ được Sếp đãi ăn trưa hoành tráng
1,Môi trường làm việc tốt
-1,Cần chú ý thêm về chế độ thưởng cho OT OT OT OT OT OT
1,"Công việc nghiên cứu tech rất hay, khuyến khích dạy lại nhau và giúp nhau cùng phát triển. Không có OT, nếu dự án nhận về cho học viên làm gấp thì OT hoặc xây hệ thống cho techmaster, nhưng OT ở đây vui vì anh em đều thoải mái."
1,"Đồng nghiệp thân thiện, nhiệt tình, thoải mái, không khí làm việc hòa đồng."
-1,Môi trường làm việc nên được cải thiện hơn. Đôi lúc Sếp cứng nhắc và thiếu quyết đoán. Không có phụ cấp OT. Đôi khi không có thời gian dành cho gia đình.
